GMU,Hunt_Number,Hunt_Type,Season,Sex,Date,Restrictions
16,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
17,,General,Spring,Male (or bearded),April 15 - May 25,
17,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
18,,General,Spring,Male (or bearded),April 15 - May 25,
18,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
19,,General,Spring,Male (or bearded),April 15 - May 25,
19,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
20,,General,Spring,Male (or bearded),April 15 - May 25,
20,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
21,9003,Controlled,Spring,Male (or bearded),April 15 - May 25,Access is Limited
21,,Youth,Spring,Male (or bearded),April 8 - May 25,See note 1
22,9013,Controlled,Fall,Either sex,October 10 - December 31,"Outside the National Forest System boundary"
22,9011,Youth,Fall,Either sex,August 30 - October 9,
22,,General,Fall,Either sex,August 30 - October 9,"Outside the National Forest System boundary"
22,,General,Spring,Male (or bearded),April 15 - May 25,
22,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
23,,General,Spring,Male (or bearded),April 15 - May 25,
23,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
24,,General,Spring,Male (or bearded),April 15 - May 25,
24,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
28,9014,Controlled,Fall,Either sex,August 30 - December 31,Access is Limited
28,9003,Controlled,Spring,Male (or bearded),April 15 - May 25,Access is Limited
28,,Youth,Spring,Male (or bearded),April 8 - May 25,See note 1
29,9003,Controlled,Spring,Male (or bearded),April 15 - May 25,Access is Limited
29,,Youth,Spring,Male (or bearded),April 8 - May 25,See note 1
30,9003,Controlled,Spring,Male (or bearded),April 15 - May 25,Access is Limited
30,,Youth,Spring,Male (or bearded),April 8 - May 25,See note 1
31,9013,Controlled,Fall,Either sex,October 10 - December 31,"Outside the National Forest System boundary"
31,9011,Youth,Fall,Either sex,August 30 - October 9,
31,,General,Fall,Either sex,August 30 - October 9,"Outside the National Forest System boundary"
31,,General,Spring,Male (or bearded),April 15 - May 25,
31,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
32,9013,Controlled,Fall,Either sex,October 10 - December 31,"Outside the National Forest System boundary"
32,9015,Controlled,Fall,Either sex,September 15 - October 9,All of Unit 38 and that portion of Unit 32 in Payette County
32,9004,Controlled,Spring,Male (or bearded),April 15 - April 30,Access is Limited
32,9005,Controlled,Spring,Male (or bearded),May 1 - May 25,Access is Limited
32,,General,Fall,Either sex,August 30 - October 9,"Outside the National Forest System boundary (except Payette County portion)"
32,,General,Spring,Male (or bearded),April 15 - May 25,
32,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
32A,,General,Fall,Either sex,August 30 - October 9,"Outside the National Forest System boundary"
33,,General,Fall,Either sex,August 30 - October 9,"Outside the National Forest System boundary"
33,,General,Spring,Male (or bearded),April 15 - May 25,
33,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
37,9014,Controlled,Fall,Either sex,August 30 - December 31,Access is Limited
37,9003,Controlled,Spring,Male (or bearded),April 15 - May 25,Access is Limited
37,,Youth,Spring,Male (or bearded),April 8 - May 25,See note 1
38,9015,Controlled,Fall,Either sex,September 15 - October 9,
38,9004,Controlled,Spring,Male (or bearded),April 15 - April 30,Access is Limited
38,9005,Controlled,Spring,Male (or bearded),May 1 - May 25,Access is Limited
38,,Youth,Spring,Male (or bearded),April 8 - May 25,See note 1
39,,General,Spring,Male (or bearded),April 15 - May 25,
39,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
70,,General,Spring,Male (or bearded),April 15 - May 25,
70,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
71,,General,Spring,Male (or bearded),April 15 - May 25,
71,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
72,,General,Spring,Male (or bearded),April 15 - May 25,
72,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
73,,General,Spring,Male (or bearded),April 15 - May 25,
73,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
74,,General,Spring,Male (or bearded),April 15 - May 25,
74,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
75,,General,Spring,Male (or bearded),April 15 - May 25,
75,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
76,,General,Spring,Male (or bearded),April 15 - May 25,
76,,Youth,Spring,Male (or bearded),April 8 - April 14,See note 1
77,,General,Spring,Male (or bearded),April 15 - May 25,
